정류장 명칭_승차,정류장 명칭_하차,count,rate,direction
걸포마루공원,걸포북변역.국민연금공단,565,0.0754,1
걸포마루공원,풍무역,334,0.0446,1
걸포마루공원,고촌역,439,0.058600000000000006,1
걸포마루공원,개화역광역환승센터,163,0.0217,1
걸포마루공원,롯데몰.김포공항역,163,0.0217,1
걸포북변역.국민연금공단,풍무역,334,0.0446,1
걸포북변역.국민연금공단,고촌역,439,0.058600000000000006,1
걸포북변역.국민연금공단,개화역광역환승센터,163,0.0217,1
걸포북변역.국민연금공단,롯데몰.김포공항역,163,0.0217,1
풍무역,걸포북변역.국민연금공단,387,0.0516,2
풍무역,고촌역,706,0.0942,1
풍무역,개화역광역환승센터,198,0.0264,1
풍무역,롯데몰.김포공항역,198,0.0264,1
고촌역,걸포북변역.국민연금공단,378,0.0504,2
고촌역,풍무역,791,0.10550000000000001,2
고촌역,개화역광역환승센터,163,0.0217,1
고촌역,롯데몰.김포공항역,239,0.0319,1
개화역광역환승센터,걸포북변역.국민연금공단,154,0.020499999999999997,2
개화역광역환승센터,풍무역,266,0.0355,2
개화역광역환승센터,고촌역,253,0.0338,2
개화역광역환승센터,롯데몰.김포공항역,163,0.0217,1
롯데몰.김포공항역,걸포북변역.국민연금공단,154,0.020499999999999997,2
롯데몰.김포공항역,풍무역,266,0.0355,2
롯데몰.김포공항역,고촌역,253,0.0338,2
롯데몰.김포공항역,개화역광역환승센터,163,0.0217,2
